Cust_ID,fitness_gym,hiking_running,teamgames,outdooractivities,totalproducts,total_spent,Avg_Spent,Days_Since_Last_Purchase,cluster_label
334,1,78,213,35,7,327,47,73,1
335,53,128,280,33,8,494,62,63,1
336,45,52,178,35,7,310,45,62,1
337,32,80,239,35,6,386,65,85,1
339,54,82,292,32,14,460,33,68,1
340,50,66,299,33,12,448,38,66,1
343,47,118,257,34,8,456,57,62,1
344,50,82,313,33,8,478,60,62,1
347,67,93,266,32,9,458,51,62,1
348,31,89,250,32,9,402,45,71,1
349,0,93,285,35,9,413,46,67,1
351,0,96,285,35,8,416,52,67,1
352,0,90,239,34,7,363,52,64,1
353,79,120,341,33,8,573,72,79,1
354,40,66,95,34,6,235,40,96,2
355,1,78,195,37,6,311,52,73,1
357,66,116,229,34,8,445,56,68,1
358,66,109,299,33,8,507,64,66,1
360,23,99,236,33,7,391,56,70,1
362,66,72,280,32,6,450,75,62,0
364,66,83,350,32,7,531,76,63,1
365,50,107,250,34,9,441,49,63,1
366,66,83,350,32,7,531,76,63,1
368,52,159,294,33,6,538,90,71,1
369,53,74,211,33,11,371,34,62,1
370,2,63,241,37,8,343,43,91,1
374,63,89,331,31,8,514,65,62,1
375,71,124,262,31,8,488,61,62,1
378,66,88,271,32,10,457,46,62,1
379,38,94,250,35,7,417,60,80,1
380,42,80,239,34,8,395,50,67,1
381,68,85,331,32,8,516,65,73,1
382,42,80,239,34,8,395,50,67,1
383,42,80,239,34,8,395,50,67,1
384,28,87,252,36,7,403,58,79,1
385,7,90,250,36,8,383,48,67,1
386,26,88,255,36,7,405,58,79,1
387,15,79,234,35,5,363,73,73,1
388,26,88,255,36,7,405,58,79,1
392,52,82,252,33,5,419,84,62,0
393,61,112,229,33,5,435,87,69,0
395,76,66,308,34,6,484,81,63,0
396,2,122,285,36,5,445,89,124,0
397,59,87,271,33,6,450,75,69,1
398,59,87,271,33,6,450,75,69,1
399,22,64,213,32,6,331,56,65,1
403,49,85,285,33,6,452,76,66,1
404,5,75,239,34,6,353,59,71,1
405,46,59,220,35,8,360,45,67,1
406,47,63,255,34,6,399,67,65,1
409,49,70,255,32,6,406,68,82,0
410,34,80,269,35,6,418,70,82,1
411,35,80,269,35,6,419,70,79,1
412,16,100,220,34,6,370,62,71,1
415,24,117,331,35,11,507,47,87,1
417,12,91,197,36,5,336,68,90,1
418,51,121,290,34,8,496,62,63,1
419,0,66,243,38,7,347,50,90,1
420,33,89,234,34,7,390,56,91,1
421,3,59,188,37,6,287,48,88,1
423,47,66,248,33,9,394,44,62,1
425,3,59,188,37,6,287,48,88,1
426,8,45,181,36,5,270,54,75,1
427,22,77,271,34,6,404,68,62,1
428,33,70,248,34,6,385,65,65,1
429,63,88,292,32,6,475,80,69,0
431,35,74,239,34,6,382,64,77,1
433,63,91,308,33,5,495,99,62,0
437,73,66,266,33,7,438,63,62,1
439,18,62,185,32,6,297,50,63,1
440,72,72,269,30,8,443,56,62,1
444,1,54,146,37,8,238,30,61,1
445,10,79,266,34,6,389,65,62,1
446,60,81,290,32,7,463,67,87,0
447,29,127,225,34,7,415,60,62,1
449,69,95,285,32,6,481,81,73,0
451,53,413,250,32,11,748,68,65,1
452,3,84,225,36,6,348,58,74,1
457,21,97,271,34,6,423,71,85,1
462,68,85,229,33,6,415,70,66,1
463,70,98,234,32,5,434,87,81,0
465,40,98,313,36,9,487,55,66,1
466,42,69,257,33,7,401,58,77,1
467,45,65,176,35,8,321,41,63,1
468,69,90,299,33,6,491,82,62,1
469,2,70,188,33,6,293,49,92,1
470,65,93,290,32,6,480,80,71,0
471,42,81,229,33,7,385,55,81,1
472,55,83,287,33,8,458,58,81,1
474,51,80,257,33,9,421,47,66,1
475,24,87,271,33,6,415,70,61,1
476,41,91,252,34,7,418,60,62,1
477,49,75,246,33,11,403,37,62,1
478,24,87,271,33,6,415,70,61,1
483,60,152,266,32,11,510,47,63,1
485,39,54,243,33,5,369,74,62,1
486,39,54,243,33,5,369,74,62,1
487,36,53,257,33,4,379,95,61,0
491,50,55,188,35,8,328,41,68,1
493,31,86,304,36,7,457,66,79,1
494,23,51,188,36,6,298,50,84,1
495,53,70,234,33,6,390,65,61,1
497,32,90,220,35,8,377,48,99,1
498,53,70,234,33,6,390,65,61,1
499,31,86,304,36,7,457,66,79,1
500,25,81,262,36,6,404,68,70,1
501,73,74,276,33,8,456,57,94,0
502,73,74,276,33,8,456,57,94,0
503,47,78,243,33,10,401,41,62,1
506,46,75,243,34,10,398,40,62,1
509,75,84,266,32,7,457,66,79,0
510,49,73,248,32,6,402,67,75,0
511,31,90,285,33,6,439,74,82,1
512,48,125,252,32,8,457,58,71,1
513,64,107,236,32,7,439,63,62,1
514,64,107,236,32,7,439,63,62,1
517,49,200,285,33,6,567,95,61,1
518,49,88,234,34,7,405,58,67,1
520,49,88,257,36,9,430,48,71,1
523,49,85,248,34,6,416,70,94,0
524,49,86,243,34,6,412,69,79,1
525,24,105,294,34,7,457,66,85,1
527,49,97,211,35,8,392,49,89,1
528,49,84,271,35,8,439,55,88,1
530,24,78,276,36,9,414,46,57,1
532,49,98,308,33,6,488,82,68,1
533,24,72,197,34,7,327,47,71,1
535,24,78,276,36,9,414,46,57,1
537,24,84,234,35,8,377,48,61,1
539,74,100,290,34,6,498,83,61,1
540,24,101,271,34,7,430,62,76,1
541,49,64,271,34,7,418,60,61,1
543,24,85,283,32,7,424,61,72,1
546,24,78,259,36,8,397,50,66,1
547,49,67,269,34,9,419,47,62,1
549,49,171,241,34,6,495,83,62,1
550,1,74,201,35,6,311,52,65,1
551,24,92,252,33,7,401,58,70,1
552,24,92,252,33,7,401,58,70,1
553,24,50,146,39,6,259,44,88,1
554,49,95,372,31,7,547,79,66,1
556,49,118,304,32,6,503,84,66,1
558,49,118,304,32,6,503,84,66,1
559,49,85,348,34,7,516,74,62,1
560,49,75,285,33,6,442,74,61,1
561,49,78,248,34,6,409,69,82,1
563,49,92,232,35,6,408,68,81,1
564,49,85,348,34,7,516,74,62,1
565,49,75,285,33,6,442,74,61,1
566,24,226,278,35,6,563,94,61,1
568,49,250,276,35,8,610,77,61,1
569,24,95,174,37,6,330,55,75,1
571,24,95,174,37,6,330,55,75,1
573,49,70,278,34,6,431,72,70,1
574,49,78,280,33,7,440,63,76,1
575,49,79,283,33,8,444,56,84,1
576,24,103,248,35,5,410,82,62,1
577,49,83,257,34,6,423,71,74,1
578,49,85,257,34,6,425,71,73,1
579,49,63,243,33,5,388,78,74,0
580,49,89,304,33,4,475,119,61,0
582,49,83,299,33,4,464,116,61,0
583,49,74,243,31,7,397,57,66,1
584,49,93,304,34,8,480,60,110,1
585,24,91,252,36,7,403,58,64,1
586,49,94,266,33,10,442,45,72,1
589,49,59,243,32,7,383,55,61,1
590,49,84,269,35,6,437,73,77,1
591,49,70,118,33,5,270,54,79,2
593,58,94,308,34,6,494,83,65,1
594,17,96,248,36,5,397,80,76,1
595,41,86,294,34,6,455,76,86,1
596,51,59,285,32,6,427,72,62,1
597,58,71,252,32,6,413,69,61,1
598,18,78,222,33,5,351,71,61,1
599,45,82,299,31,7,457,66,67,1
601,52,71,313,32,6,468,78,68,0
602,0,81,241,34,5,356,72,62,1
603,52,71,313,32,6,468,78,68,0
605,13,85,262,35,6,395,66,62,1
606,48,72,236,35,8,391,49,66,1
607,41,92,257,35,5,425,85,82,1
608,37,110,359,35,6,541,91,67,1
610,54,83,259,35,5,431,87,81,0
611,55,81,313,31,5,480,96,61,0
613,38,58,211,34,7,341,49,66,1
614,18,148,227,30,14,423,31,66,1
615,50,79,292,37,6,458,77,84,1
616,50,79,292,37,6,458,77,84,1
617,51,79,257,32,9,419,47,70,1
618,50,122,313,33,7,518,74,60,1
620,24,76,243,34,6,377,63,72,1
621,23,78,243,34,6,378,63,70,1
626,29,98,271,35,5,433,87,61,1
627,29,98,271,35,5,433,87,61,1
628,26,97,243,34,6,400,67,63,1
629,23,111,215,34,6,383,64,76,1
630,26,97,243,34,6,400,67,63,1
631,54,105,271,34,6,464,78,61,1
632,14,87,215,35,6,351,59,77,1
633,22,105,322,36,6,485,81,67,1
637,27,84,248,34,5,393,79,87,1
640,45,71,278,35,6,429,72,72,1
641,44,71,280,36,6,431,72,77,1
642,45,71,278,35,6,429,72,72,1
643,44,71,280,36,6,431,72,77,1
644,45,71,278,35,6,429,72,72,1
646,5,107,234,36,6,382,64,62,1
647,1,70,222,35,6,328,55,61,1
648,30,66,215,35,7,346,50,66,1
649,27,68,178,33,6,306,51,80,1
653,59,79,243,33,5,414,83,65,0
654,47,74,250,32,5,403,81,63,0
655,17,87,308,33,6,445,75,76,1
658,7,74,236,35,8,352,44,61,1
661,31,80,248,35,6,394,66,71,1
662,6,76,234,35,7,351,51,65,1
664,52,92,299,32,7,475,68,71,1
665,14,84,255,33,6,386,65,81,1
667,45,82,271,31,7,429,62,62,1
668,43,59,220,33,6,355,60,71,1
669,45,82,271,31,7,429,62,62,1
670,24,83,204,34,6,345,58,86,1
671,21,74,225,33,5,353,71,61,1
673,21,74,225,33,5,353,71,61,1
680,58,70,308,32,5,468,94,71,0
681,23,94,211,34,5,362,73,72,1
682,31,78,252,35,5,396,80,88,1
684,32,78,252,34,5,396,80,91,0
685,23,59,229,35,6,346,58,61,1
689,48,157,243,34,10,482,49,61,1
691,24,87,294,36,5,441,89,68,1
692,51,422,250,32,12,755,63,72,1
693,32,84,262,35,6,413,69,77,1
694,31,84,262,35,6,412,69,80,1
696,2,66,234,36,7,338,49,64,1
697,2,66,234,36,7,338,49,64,1
698,28,87,301,35,5,451,91,74,1
700,43,76,262,32,6,413,69,82,0
701,2,66,234,36,7,338,49,64,1
704,4,78,252,34,5,368,74,60,1
706,8,93,197,36,5,334,67,66,1
707,19,77,220,35,5,351,71,72,1
709,47,62,259,34,7,402,58,69,1
711,34,93,294,35,6,456,76,72,1
712,0,84,280,35,4,399,100,69,1
714,28,78,252,34,5,392,79,77,1
716,36,75,243,35,5,389,78,66,1
717,11,79,225,34,6,349,59,68,1
718,4,82,243,34,4,363,91,66,1
720,4,82,243,34,4,363,91,66,1
721,24,94,257,32,5,407,82,91,0
722,8,84,225,34,6,351,59,71,1
723,30,53,218,31,16,332,21,92,1
724,10,86,201,37,6,334,56,61,1
726,9,84,285,36,7,414,60,74,1
727,2,67,229,36,7,334,48,60,1
729,3,71,183,38,5,295,59,83,1
730,66,387,257,33,7,743,107,68,1
732,3,92,220,35,5,350,70,66,1
733,34,82,252,37,6,405,68,72,1
734,20,75,269,36,6,400,67,65,1
735,10,112,213,34,5,369,74,67,1
736,10,112,213,34,5,369,74,67,1
738,23,92,259,32,6,406,68,84,1
741,24,78,250,34,6,386,65,84,1
742,0,65,234,36,6,335,56,65,1
743,58,96,304,33,5,491,99,81,0
745,18,70,245,37,7,370,53,68,1
746,38,80,248,34,5,400,80,68,1
748,18,71,243,37,7,369,53,68,1
749,18,70,245,37,7,370,53,68,1
755,7,58,189,37,4,291,73,78,1
756,1,57,180,38,5,276,56,71,1
758,0,84,219,34,5,337,68,66,1
759,21,92,258,33,5,404,81,89,0
761,26,96,238,34,4,394,99,61,1
765,10,91,273,35,5,409,82,68,1
766,18,89,238,33,5,378,76,68,1
767,32,103,284,36,6,455,76,69,1
768,2,82,240,37,5,361,73,80,1
769,1,76,222,35,5,334,67,63,1
770,2,82,240,37,5,361,73,80,1
771,26,82,248,34,6,390,65,79,1
773,29,157,236,34,9,456,51,57,1
774,30,157,236,35,9,458,51,58,1
775,0,102,203,36,5,341,69,63,1
776,18,243,209,36,6,506,85,62,1
777,17,241,208,36,6,502,84,62,1
780,0,190,224,35,6,449,75,68,1
783,14,114,237,38,6,403,68,65,1
784,1,77,240,37,6,355,60,76,1
785,41,83,257,34,5,415,83,67,1
787,24,79,278,33,6,414,69,75,1
789,17,99,252,32,5,400,80,77,1
790,43,82,231,35,7,391,56,74,1
791,17,84,257,34,5,392,79,81,1
792,2,81,240,36,6,359,60,73,1
793,0,55,215,35,6,305,51,63,1
795,30,132,249,31,12,442,37,63,1
797,44,38,189,34,8,305,39,77,2
798,34,82,269,34,5,419,84,61,1
799,34,82,269,34,5,419,84,61,1
800,8,82,216,34,5,340,68,82,1
803,8,114,232,34,7,388,56,70,1
804,22,84,225,34,6,365,61,60,1
805,40,52,150,35,7,277,40,60,1
806,39,41,157,34,7,271,39,60,2
807,40,52,150,35,7,277,40,60,1
808,12,165,230,34,9,441,49,60,1
809,31,70,228,34,6,363,61,60,1
812,33,99,257,34,7,423,61,76,1
813,24,102,174,36,6,336,56,60,1
814,54,103,285,34,8,476,60,75,1
815,33,99,257,34,7,423,61,76,1
816,19,81,262,34,6,396,66,64,1
820,0,99,208,35,6,342,57,65,1
822,13,76,236,38,6,363,61,71,1
823,13,76,236,38,6,363,61,71,1
824,28,68,225,34,5,355,71,62,1
825,14,76,212,35,5,337,68,71,1
827,14,76,212,35,5,337,68,71,1
828,9,65,164,36,7,274,40,90,1
830,7,58,214,35,6,314,53,61,1
831,8,71,154,37,8,270,34,72,1
832,42,145,260,35,9,482,54,90,1
833,44,147,261,35,9,487,55,92,1
834,26,88,228,35,5,377,76,72,1
835,10,66,219,35,5,330,66,83,1
838,35,75,223,34,8,367,46,65,1
841,0,115,213,36,6,364,61,77,1
842,45,119,231,34,7,429,62,90,1
843,35,88,213,34,6,370,62,65,1
846,21,81,227,38,7,367,53,70,1
847,16,78,246,37,7,377,54,68,1
849,21,80,227,37,7,365,53,68,1
852,32,80,253,34,11,399,37,82,1
853,39,80,218,36,7,373,54,97,1
854,39,80,218,36,7,373,54,97,1
856,39,80,218,36,7,373,54,97,1
857,34,73,205,36,8,348,44,72,1
858,47,54,226,33,7,360,52,73,1
859,22,74,169,36,8,301,38,71,1
860,6,77,240,37,5,360,72,71,1
861,66,39,150,38,6,293,49,71,2
866,22,71,169,36,8,298,38,69,1
872,24,67,201,36,5,328,66,84,1
875,40,109,209,35,8,393,50,63,1
876,0,67,187,36,6,290,49,63,1
878,19,94,249,34,5,396,80,86,1
879,4,76,240,37,6,357,60,74,1
882,29,194,191,34,8,448,56,70,1
883,4,76,240,37,6,357,60,74,1
884,19,94,249,34,5,396,80,86,1
885,14,86,258,35,6,393,66,65,1
887,38,66,201,33,8,338,43,85,1
888,0,72,181,36,6,289,49,88,1
889,34,112,366,34,7,546,78,79,1
890,24,71,201,36,6,332,56,86,1
891,3,78,239,37,6,357,60,72,1
893,3,78,239,37,6,357,60,72,1
895,1,80,195,36,6,312,52,83,1
896,39,78,170,35,8,322,41,73,1
897,1,80,195,36,6,312,52,83,1
900,36,56,197,36,7,325,47,66,1
901,10,80,238,37,7,365,53,72,1
902,10,80,238,37,7,365,53,72,1
903,6,60,211,36,6,313,53,67,1
904,6,60,211,36,6,313,53,67,1
905,20,81,252,34,6,387,65,71,1
909,39,59,144,34,5,276,56,63,1
910,48,132,201,34,6,415,70,59,1
912,44,65,223,35,6,367,62,60,1
913,46,94,215,34,6,389,65,59,1
914,39,59,144,34,5,276,56,63,1
916,19,161,159,38,6,377,63,63,1
917,31,84,258,35,6,408,68,82,1
918,32,81,215,34,7,362,52,88,1
919,12,72,184,35,9,303,34,94,1
920,37,91,249,34,6,411,69,66,1
921,32,81,215,34,7,362,52,88,1
923,31,84,258,35,6,408,68,82,1
925,36,64,207,36,9,343,39,109,1
926,33,61,249,36,9,379,43,108,1
927,19,93,238,33,6,383,64,67,1
928,27,55,187,33,8,302,38,70,1
929,38,63,176,34,7,311,45,66,1
934,1,80,240,39,7,360,52,64,1
935,38,60,193,35,7,326,47,75,1
937,50,71,250,32,6,403,68,62,1
938,38,68,150,35,7,291,42,79,1
939,17,73,166,38,5,294,59,63,1
941,49,82,179,33,5,343,69,65,1
944,49,90,182,34,6,355,60,67,1
945,42,71,198,33,8,344,43,63,1
946,58,92,240,34,10,424,43,67,1
948,45,75,195,36,8,351,44,66,1
949,45,75,195,36,8,351,44,66,1
952,40,58,191,35,7,324,47,62,1
956,52,111,199,35,6,397,67,61,1
957,52,88,209,34,6,383,64,68,1
958,12,120,187,36,7,355,51,81,1
959,5,89,237,35,6,366,61,68,1
960,27,58,187,33,8,305,39,74,1
961,14,78,204,34,6,330,55,63,1
963,39,100,194,33,7,366,53,76,1
964,27,58,187,33,8,305,39,74,1
965,40,65,195,35,9,335,38,80,1
966,41,103,207,33,6,384,64,62,1
967,20,97,237,33,5,387,78,79,1
968,43,68,167,33,6,311,52,85,1
969,9,79,222,36,6,346,58,63,1
970,48,66,235,35,9,384,43,62,1
971,48,66,235,35,9,384,43,62,1
972,50,104,216,34,6,404,68,62,1
973,44,79,207,37,6,367,62,62,1
974,41,73,220,34,6,368,62,63,1
976,30,83,229,36,5,378,76,91,1
977,29,109,253,33,5,424,85,87,0
978,32,61,163,34,5,290,58,65,1
981,26,79,232,34,6,371,62,69,1
983,30,65,246,35,7,376,54,64,1
984,49,75,227,33,6,384,64,59,1
987,30,80,228,36,5,374,75,91,1
988,12,97,205,33,5,347,70,75,1
989,40,73,196,33,5,342,69,70,1
990,12,97,205,33,5,347,70,75,1
992,10,76,195,35,5,316,64,86,1
993,28,82,228,36,5,374,75,87,1
994,45,92,280,33,4,450,113,76,0
995,6,79,229,35,6,349,59,75,1
996,0,87,155,39,6,281,47,59,1
997,0,87,155,39,6,281,47,59,1
999,0,55,105,36,5,196,40,63,1
1000,30,62,182,36,7,310,45,62,1
1001,38,58,224,34,8,354,45,87,1
1002,33,63,187,34,8,317,40,69,1
1003,32,67,132,35,6,266,45,60,1
1004,29,81,207,34,5,351,71,83,1
1006,33,63,187,34,8,317,40,69,1
1008,40,110,194,34,7,378,54,68,1
1009,36,116,234,33,7,419,60,82,1
1010,45,67,149,34,6,295,50,63,1
1011,31,88,199,33,6,351,59,68,1
1012,15,102,207,34,5,358,72,67,1
1013,0,92,214,35,6,341,57,78,1
1014,16,120,172,34,6,342,57,59,1
1016,40,68,180,34,8,322,41,68,1
1017,37,49,69,30,4,185,47,92,2
1018,37,49,69,30,4,185,47,92,2
1019,14,78,214,37,6,343,58,66,1
1022,9,62,202,35,5,308,62,60,1
1024,1,88,199,35,6,323,54,68,1
1025,0,95,258,35,6,388,65,73,1
1027,0,65,155,36,5,256,52,84,1
1028,21,75,203,35,5,334,67,97,1
1030,0,91,180,36,6,307,52,65,1
1032,0,95,265,35,5,395,79,61,1
1033,8,89,204,34,6,335,56,70,1
1034,18,77,238,33,5,366,74,71,1
1035,34,85,225,33,6,377,63,61,1
1036,34,82,150,34,6,300,50,82,1
1037,10,74,223,35,6,342,57,76,1
1039,21,88,227,35,8,371,47,77,1
1040,0,88,242,37,7,367,53,72,1
1041,19,79,194,35,6,327,55,69,1
1043,41,69,266,34,8,410,52,74,1
1044,33,46,135,35,6,249,42,68,2
1045,0,70,169,35,6,274,46,88,1
1046,0,76,209,35,6,320,54,89,1
1049,36,84,230,34,8,384,48,62,1
1051,59,414,230,32,13,735,57,72,1
1054,27,95,240,33,6,395,66,61,1
1055,27,95,240,33,6,395,66,61,1
1057,25,104,249,33,6,411,69,84,1
1059,53,101,203,34,6,391,66,59,1
1062,44,98,197,34,6,373,63,62,1
1063,65,75,198,34,6,372,62,62,1
1064,9,67,164,34,6,274,46,61,1
1065,18,83,213,34,6,348,58,62,1
1066,8,70,150,36,7,264,38,69,1
1067,53,60,200,32,8,345,44,59,1
1068,53,60,200,32,8,345,44,59,1
1069,35,86,229,35,6,385,65,84,1
1071,20,98,274,33,6,425,71,86,1
1073,33,88,234,35,6,390,65,72,1
1074,20,98,274,33,6,425,71,86,1
1077,65,80,256,34,6,435,73,59,1
1078,65,80,256,34,6,435,73,59,1
