Cust_ID,fitness_gym,hiking_running,teamgames,outdooractivities,totalproducts,Avg_Spent,Days_Since_Last_Purchase,cluster_label
333,8,105,201,33,5,70,74,0
334,1,78,213,35,7,47,75,0
335,53,128,280,33,8,62,65,0
336,45,52,178,35,7,45,64,0
337,32,80,239,35,6,65,87,0
343,47,118,257,34,8,57,64,0
344,50,82,313,33,8,60,64,0
347,67,93,266,32,9,51,64,0
348,31,89,250,32,9,45,73,0
349,0,93,285,35,9,46,69,0
351,0,96,285,35,8,52,69,0
352,0,90,239,34,7,52,66,0
353,79,120,341,33,8,72,81,0
354,40,66,95,34,6,40,98,2
355,1,78,195,37,6,52,75,0
357,66,116,229,34,8,56,70,0
358,66,109,299,33,8,64,68,0
360,23,99,236,33,7,56,72,0
362,66,72,280,32,6,75,64,1
364,66,83,350,32,7,76,65,0
365,50,107,250,34,9,49,65,0
366,66,83,350,32,7,76,65,0
368,52,159,294,33,6,90,73,0
369,53,74,211,33,11,34,64,0
370,2,63,241,37,8,43,93,0
374,63,89,331,31,8,65,64,0
375,71,124,262,31,8,61,64,0
378,66,88,271,32,10,46,64,0
379,38,94,250,35,7,60,82,0
380,42,80,239,34,8,50,69,0
381,68,85,331,32,8,65,75,0
382,42,80,239,34,8,50,69,0
383,42,80,239,34,8,50,69,0
384,28,87,252,36,7,58,81,0
385,7,90,250,36,8,48,69,0
386,26,88,255,36,7,58,81,0
387,15,79,234,35,5,73,75,0
388,26,88,255,36,7,58,81,0
392,52,82,252,33,5,84,64,1
393,61,112,229,33,5,87,71,1
395,76,66,308,34,6,81,65,1
396,2,122,285,36,5,89,126,0
397,59,87,271,33,6,75,71,0
398,59,87,271,33,6,75,71,0
399,22,64,213,32,6,56,67,0
403,49,85,285,33,6,76,68,0
404,5,75,239,34,6,59,73,0
405,46,59,220,35,8,45,69,0
406,47,63,255,34,6,67,67,0
409,49,70,255,32,6,68,84,1
410,34,80,269,35,6,70,84,0
411,35,80,269,35,6,70,81,0
412,16,100,220,34,6,62,73,0
415,24,117,331,35,11,47,89,0
417,12,91,197,36,5,68,92,0
418,51,121,290,34,8,62,65,0
419,0,66,243,38,7,50,92,0
420,33,89,234,34,7,56,93,0
421,3,59,188,37,6,48,90,0
423,47,66,248,33,9,44,64,0
425,3,59,188,37,6,48,90,0
426,8,45,181,36,5,54,77,0
427,22,77,271,34,6,68,64,0
428,33,70,248,34,6,65,67,0
429,63,88,292,32,6,80,71,1
431,35,74,239,34,6,64,79,0
433,63,91,308,33,5,99,64,1
437,73,66,266,33,7,63,64,0
439,18,62,185,32,6,50,65,0
440,72,72,269,30,8,56,64,0
444,1,54,146,37,8,30,63,0
445,10,79,266,34,6,65,64,0
446,60,81,290,32,7,67,89,1
447,29,127,225,34,7,60,64,0
449,69,95,285,32,6,81,75,1
452,3,84,225,36,6,58,76,0
457,21,97,271,34,6,71,87,0
462,68,85,229,33,6,70,68,0
463,70,98,234,32,5,87,83,1
465,40,98,313,36,9,55,68,0
466,42,69,257,33,7,58,79,0
467,45,65,176,35,8,41,65,0
468,69,90,299,33,6,82,64,0
469,2,70,188,33,6,49,94,0
470,65,93,290,32,6,80,73,1
471,42,81,229,33,7,55,83,0
472,55,83,287,33,8,58,83,0
474,51,80,257,33,9,47,68,0
475,24,87,271,33,6,70,63,0
476,41,91,252,34,7,60,64,0
477,49,75,246,33,11,37,64,0
478,24,87,271,33,6,70,63,0
483,60,152,266,32,11,47,65,0
485,39,54,243,33,5,74,64,0
486,39,54,243,33,5,74,64,0
487,36,53,257,33,4,95,63,1
491,50,55,188,35,8,41,70,0
493,31,86,304,36,7,66,81,0
494,23,51,188,36,6,50,86,0
495,53,70,234,33,6,65,63,0
497,32,90,220,35,8,48,101,0
498,53,70,234,33,6,65,63,0
499,31,86,304,36,7,66,81,0
500,25,81,262,36,6,68,72,0
501,73,74,276,33,8,57,96,1
502,73,74,276,33,8,57,96,1
503,47,78,243,33,10,41,64,0
506,46,75,243,34,10,40,64,0
509,75,84,266,32,7,66,81,1
510,49,73,248,32,6,67,77,1
511,31,90,285,33,6,74,84,0
512,48,125,252,32,8,58,73,0
513,64,107,236,32,7,63,64,0
514,64,107,236,32,7,63,64,0
518,49,88,234,34,7,58,69,0
520,49,88,257,36,9,48,73,0
523,49,85,248,34,6,70,96,1
524,49,86,243,34,6,69,81,0
525,24,105,294,34,7,66,87,0
527,49,97,211,35,8,49,91,0
528,49,84,271,35,8,55,90,0
530,24,78,276,36,9,46,59,0
532,49,98,308,33,6,82,70,0
533,24,72,197,34,7,47,73,0
535,24,78,276,36,9,46,59,0
537,24,84,234,35,8,48,63,0
539,74,100,290,34,6,83,63,0
540,24,101,271,34,7,62,78,0
541,49,64,271,34,7,60,63,0
543,24,85,283,32,7,61,74,0
546,24,78,259,36,8,50,68,0
547,49,67,269,34,9,47,64,0
549,49,171,241,34,6,83,64,0
550,1,74,201,35,6,52,67,0
551,24,92,252,33,7,58,72,0
552,24,92,252,33,7,58,72,0
553,24,50,146,39,6,44,90,0
554,49,95,372,31,7,79,68,0
556,49,118,304,32,6,84,68,0
558,49,118,304,32,6,84,68,0
559,49,85,348,34,7,74,64,0
560,49,75,285,33,6,74,63,0
561,49,78,248,34,6,69,84,0
563,49,92,232,35,6,68,83,0
564,49,85,348,34,7,74,64,0
565,49,75,285,33,6,74,63,0
569,24,95,174,37,6,55,77,0
571,24,95,174,37,6,55,77,0
573,49,70,278,34,6,72,72,0
574,49,78,280,33,7,63,78,0
575,49,79,283,33,8,56,86,0
576,24,103,248,35,5,82,64,0
577,49,83,257,34,6,71,76,0
578,49,85,257,34,6,71,75,0
579,49,63,243,33,5,78,76,1
580,49,89,304,33,4,119,63,1
582,49,83,299,33,4,116,63,1
583,49,74,243,31,7,57,68,0
584,49,93,304,34,8,60,112,0
585,24,91,252,36,7,58,66,0
586,49,94,266,33,10,45,74,0
589,49,59,243,32,7,55,63,0
590,49,84,269,35,6,73,79,0
591,49,70,118,33,5,54,81,2
593,58,94,308,34,6,83,67,0
594,17,96,248,36,5,80,78,0
595,41,86,294,34,6,76,88,0
596,51,59,285,32,6,72,64,0
597,58,71,252,32,6,69,63,0
598,18,78,222,33,5,71,63,0
599,45,82,299,31,7,66,69,0
601,52,71,313,32,6,78,70,1
602,0,81,241,34,5,72,64,0
603,52,71,313,32,6,78,70,1
605,13,85,262,35,6,66,64,0
606,48,72,236,35,8,49,68,0
607,41,92,257,35,5,85,84,0
608,37,110,359,35,6,91,69,0
610,54,83,259,35,5,87,83,1
611,55,81,313,31,5,96,63,1
613,38,58,211,34,7,49,68,0
615,50,79,292,37,6,77,86,0
616,50,79,292,37,6,77,86,0
617,51,79,257,32,9,47,72,0
618,50,122,313,33,7,74,62,0
620,24,76,243,34,6,63,74,0
621,23,78,243,34,6,63,72,0
626,29,98,271,35,5,87,63,0
627,29,98,271,35,5,87,63,0
628,26,97,243,34,6,67,65,0
629,23,111,215,34,6,64,78,0
630,26,97,243,34,6,67,65,0
631,54,105,271,34,6,78,63,0
632,14,87,215,35,6,59,79,0
633,22,105,322,36,6,81,69,0
637,27,84,248,34,5,79,89,0
640,45,71,278,35,6,72,74,0
641,44,71,280,36,6,72,79,0
642,45,71,278,35,6,72,74,0
643,44,71,280,36,6,72,79,0
644,45,71,278,35,6,72,74,0
646,5,107,234,36,6,64,64,0
647,1,70,222,35,6,55,63,0
648,30,66,215,35,7,50,68,0
649,27,68,178,33,6,51,82,0
653,59,79,243,33,5,83,67,1
654,47,74,250,32,5,81,65,1
655,17,87,308,33,6,75,78,0
658,7,74,236,35,8,44,63,0
661,31,80,248,35,6,66,73,0
662,6,76,234,35,7,51,67,0
664,52,92,299,32,7,68,73,0
665,14,84,255,33,6,65,83,0
667,45,82,271,31,7,62,64,0
668,43,59,220,33,6,60,73,0
669,45,82,271,31,7,62,64,0
670,24,83,204,34,6,58,88,0
671,21,74,225,33,5,71,63,0
673,21,74,225,33,5,71,63,0
680,58,70,308,32,5,94,73,1
681,23,94,211,34,5,73,74,0
682,31,78,252,35,5,80,90,0
684,32,78,252,34,5,80,93,1
685,23,59,229,35,6,58,63,0
689,48,157,243,34,10,49,63,0
691,24,87,294,36,5,89,70,0
693,32,84,262,35,6,69,79,0
694,31,84,262,35,6,69,82,0
696,2,66,234,36,7,49,66,0
697,2,66,234,36,7,49,66,0
698,28,87,301,35,5,91,76,0
700,43,76,262,32,6,69,84,1
701,2,66,234,36,7,49,66,0
704,4,78,252,34,5,74,62,0
706,8,93,197,36,5,67,68,0
707,19,77,220,35,5,71,74,0
709,47,62,259,34,7,58,71,0
711,34,93,294,35,6,76,74,0
712,0,84,280,35,4,100,71,0
714,28,78,252,34,5,79,79,0
716,36,75,243,35,5,78,68,0
717,11,79,225,34,6,59,70,0
718,4,82,243,34,4,91,68,0
720,4,82,243,34,4,91,68,0
721,24,94,257,32,5,82,93,1
722,8,84,225,34,6,59,73,0
724,10,86,201,37,6,56,63,0
726,9,84,285,36,7,60,76,0
727,2,67,229,36,7,48,62,0
729,3,71,183,38,5,59,85,0
732,3,92,220,35,5,70,68,0
733,34,82,252,37,6,68,74,0
734,20,75,269,36,6,67,67,0
735,10,112,213,34,5,74,69,0
736,10,112,213,34,5,74,69,0
738,23,92,259,32,6,68,86,0
741,24,78,250,34,6,65,86,0
742,0,65,234,36,6,56,67,0
743,58,96,304,33,5,99,83,1
745,18,70,245,37,7,53,70,0
746,38,80,248,34,5,80,70,0
748,18,71,243,37,7,53,70,0
749,18,70,245,37,7,53,70,0
755,7,58,189,37,4,73,80,0
756,1,57,180,38,5,56,73,0
758,0,84,219,34,5,68,68,0
759,21,92,258,33,5,81,91,1
761,26,96,238,34,4,99,63,0
765,10,91,273,35,5,82,70,0
766,18,89,238,33,5,76,70,0
767,32,103,284,36,6,76,71,0
768,2,82,240,37,5,73,82,0
769,1,76,222,35,5,67,65,0
770,2,82,240,37,5,73,82,0
771,26,82,248,34,6,65,81,0
773,29,157,236,34,9,51,59,0
774,30,157,236,35,9,51,60,0
775,0,102,203,36,5,69,65,0
783,14,114,237,38,6,68,67,0
784,1,77,240,37,6,60,78,0
785,41,83,257,34,5,83,69,0
787,24,79,278,33,6,69,77,0
789,17,99,252,32,5,80,79,0
790,43,82,231,35,7,56,76,0
791,17,84,257,34,5,79,83,0
792,2,81,240,36,6,60,75,0
793,0,55,215,35,6,51,65,0
797,44,38,189,34,8,39,79,2
798,34,82,269,34,5,84,63,0
799,34,82,269,34,5,84,63,0
800,8,82,216,34,5,68,84,0
803,8,114,232,34,7,56,72,0
804,22,84,225,34,6,61,62,0
805,40,52,150,35,7,40,62,0
806,39,41,157,34,7,39,62,2
807,40,52,150,35,7,40,62,0
808,12,165,230,34,9,49,62,0
809,31,70,228,34,6,61,62,0
812,33,99,257,34,7,61,78,0
813,24,102,174,36,6,56,62,0
814,54,103,285,34,8,60,77,0
815,33,99,257,34,7,61,78,0
816,19,81,262,34,6,66,66,0
820,0,99,208,35,6,57,67,0
822,13,76,236,38,6,61,73,0
823,13,76,236,38,6,61,73,0
824,28,68,225,34,5,71,64,0
825,14,76,212,35,5,68,73,0
827,14,76,212,35,5,68,73,0
828,9,65,164,36,7,40,92,0
830,7,58,214,35,6,53,63,0
831,8,71,154,37,8,34,74,0
832,42,145,260,35,9,54,92,0
833,44,147,261,35,9,55,94,0
834,26,88,228,35,5,76,74,0
835,10,66,219,35,5,66,85,0
838,35,75,223,34,8,46,67,0
841,0,115,213,36,6,61,79,0
842,45,119,231,34,7,62,92,0
843,35,88,213,34,6,62,67,0
846,21,81,227,38,7,53,72,0
847,16,78,246,37,7,54,70,0
849,21,80,227,37,7,53,70,0
852,32,80,253,34,11,37,84,0
853,39,80,218,36,7,54,99,0
854,39,80,218,36,7,54,99,0
856,39,80,218,36,7,54,99,0
857,34,73,205,36,8,44,74,0
858,47,54,226,33,7,52,75,0
859,22,74,169,36,8,38,73,0
860,6,77,240,37,5,72,73,0
861,66,39,150,38,6,49,73,2
866,22,71,169,36,8,38,71,0
872,24,67,201,36,5,66,86,0
875,40,109,209,35,8,50,65,0
876,0,67,187,36,6,49,65,0
878,19,94,249,34,5,80,88,0
879,4,76,240,37,6,60,76,0
883,4,76,240,37,6,60,76,0
884,19,94,249,34,5,80,88,0
885,14,86,258,35,6,66,67,0
887,38,66,201,33,8,43,87,0
888,0,72,181,36,6,49,90,0
889,34,112,366,34,7,78,81,0
890,24,71,201,36,6,56,88,0
891,3,78,239,37,6,60,74,0
893,3,78,239,37,6,60,74,0
895,1,80,195,36,6,52,85,0
896,39,78,170,35,8,41,75,0
897,1,80,195,36,6,52,85,0
900,36,56,197,36,7,47,68,0
901,10,80,238,37,7,53,74,0
902,10,80,238,37,7,53,74,0
903,6,60,211,36,6,53,69,0
904,6,60,211,36,6,53,69,0
905,20,81,252,34,6,65,73,0
909,39,59,144,34,5,56,65,0
910,48,132,201,34,6,70,61,0
912,44,65,223,35,6,62,62,0
913,46,94,215,34,6,65,61,0
914,39,59,144,34,5,56,65,0
916,19,161,159,38,6,63,65,0
917,31,84,258,35,6,68,84,0
918,32,81,215,34,7,52,90,0
919,12,72,184,35,9,34,96,0
920,37,91,249,34,6,69,68,0
921,32,81,215,34,7,52,90,0
923,31,84,258,35,6,68,84,0
925,36,64,207,36,9,39,111,0
926,33,61,249,36,9,43,110,0
927,19,93,238,33,6,64,69,0
928,27,55,187,33,8,38,72,0
929,38,63,176,34,7,45,68,0
934,1,80,240,39,7,52,66,0
935,38,60,193,35,7,47,77,0
937,50,71,250,32,6,68,64,0
938,38,68,150,35,7,42,81,0
939,17,73,166,38,5,59,65,0
941,49,82,179,33,5,69,67,0
944,49,90,182,34,6,60,69,0
945,42,71,198,33,8,43,65,0
946,58,92,240,34,10,43,69,0
948,45,75,195,36,8,44,68,0
949,45,75,195,36,8,44,68,0
952,40,58,191,35,7,47,64,0
956,52,111,199,35,6,67,63,0
957,52,88,209,34,6,64,70,0
958,12,120,187,36,7,51,83,0
959,5,89,237,35,6,61,70,0
960,27,58,187,33,8,39,76,0
961,14,78,204,34,6,55,65,0
963,39,100,194,33,7,53,78,0
964,27,58,187,33,8,39,76,0
965,40,65,195,35,9,38,82,0
966,41,103,207,33,6,64,64,0
967,20,97,237,33,5,78,81,0
968,43,68,167,33,6,52,87,0
969,9,79,222,36,6,58,65,0
970,48,66,235,35,9,43,64,0
971,48,66,235,35,9,43,64,0
972,50,104,216,34,6,68,64,0
973,44,79,207,37,6,62,64,0
974,41,73,220,34,6,62,65,0
976,30,83,229,36,5,76,93,0
977,29,109,253,33,5,85,89,1
978,32,61,163,34,5,58,67,0
981,26,79,232,34,6,62,71,0
983,30,65,246,35,7,54,66,0
984,49,75,227,33,6,64,61,0
987,30,80,228,36,5,75,93,0
988,12,97,205,33,5,70,77,0
989,40,73,196,33,5,69,72,0
990,12,97,205,33,5,70,77,0
992,10,76,195,35,5,64,88,0
993,28,82,228,36,5,75,89,0
994,45,92,280,33,4,113,78,1
995,6,79,229,35,6,59,77,0
996,0,87,155,39,6,47,61,0
997,0,87,155,39,6,47,61,0
999,0,55,105,36,5,40,65,0
1000,30,62,182,36,7,45,64,0
1001,38,58,224,34,8,45,89,0
1002,33,63,187,34,8,40,71,0
1003,32,67,132,35,6,45,62,0
1004,29,81,207,34,5,71,85,0
1006,33,63,187,34,8,40,71,0
1008,40,110,194,34,7,54,70,0
1009,36,116,234,33,7,60,84,0
1010,45,67,149,34,6,50,65,0
1011,31,88,199,33,6,59,70,0
1012,15,102,207,34,5,72,69,0
1013,0,92,214,35,6,57,80,0
1014,16,120,172,34,6,57,61,0
1016,40,68,180,34,8,41,70,0
1017,37,49,69,30,4,47,94,2
1018,37,49,69,30,4,47,94,2
1019,14,78,214,37,6,58,68,0
1022,9,62,202,35,5,62,62,0
1024,1,88,199,35,6,54,70,0
1025,0,95,258,35,6,65,75,0
1027,0,65,155,36,5,52,86,0
1028,21,75,203,35,5,67,99,0
1030,0,91,180,36,6,52,67,0
1032,0,95,265,35,5,79,63,0
1033,8,89,204,34,6,56,72,0
1034,18,77,238,33,5,74,73,0
1035,34,85,225,33,6,63,63,0
1036,34,82,150,34,6,50,84,0
1037,10,74,223,35,6,57,78,0
1039,21,88,227,35,8,47,79,0
1040,0,88,242,37,7,53,74,0
1041,19,79,194,35,6,55,71,0
1043,41,69,266,34,8,52,76,0
1044,33,46,135,35,6,42,70,2
1045,0,70,169,35,6,46,90,0
1046,0,76,209,35,6,54,91,0
1049,36,84,230,34,8,48,64,0
1054,27,95,240,33,6,66,63,0
1055,27,95,240,33,6,66,63,0
1057,25,104,249,33,6,69,86,0
1059,53,101,203,34,6,66,61,0
1062,44,98,197,34,6,63,64,0
1063,65,75,198,34,6,62,64,0
1064,9,67,164,34,6,46,63,0
1065,18,83,213,34,6,58,64,0
1066,8,70,150,36,7,38,71,0
1067,53,60,200,32,8,44,61,0
1068,53,60,200,32,8,44,61,0
1069,35,86,229,35,6,65,86,0
1071,20,98,274,33,6,71,88,0
1073,33,88,234,35,6,65,74,0
1074,20,98,274,33,6,71,88,0
1077,65,80,256,34,6,73,61,0
1078,65,80,256,34,6,73,61,0
1079,68,50,140,31,5,58,96,1
1082,30,73,226,36,6,61,89,0
1083,45,72,210,35,8,46,90,0
1084,30,73,226,36,6,61,89,0
1085,8,74,190,33,5,61,98,0
1086,40,55,238,35,7,53,61,0
1087,42,57,160,34,7,42,76,0
1088,54,95,237,32,8,53,80,0
1089,54,95,237,32,8,53,80,0
1090,54,83,172,31,6,57,100,1
1091,42,86,194,35,6,60,66,0
1093,36,79,210,35,9,40,69,0
1094,9,117,219,35,5,76,67,0
1097,38,96,221,33,5,78,63,0
1102,9,78,160,36,5,57,76,0
1103,27,71,157,35,6,49,72,0
1106,42,69,154,34,5,60,67,0
1107,41,68,188,34,8,42,68,0
1108,10,90,265,35,5,80,62,0
1109,43,171,257,33,8,63,85,0
1110,0,70,204,34,6,52,64,0
1112,41,56,159,34,7,42,64,0
1113,39,74,229,33,6,63,61,0
1114,50,46,72,36,7,30,87,2
1115,7,91,200,35,6,56,73,0
1116,7,91,200,35,6,56,73,0
1117,7,91,200,35,6,56,73,0
1119,0,66,126,37,6,39,65,0
1120,34,76,121,33,7,38,66,0
1121,0,62,149,36,6,42,79,0
1122,0,55,118,36,5,42,85,2
1123,37,81,223,33,6,63,75,0
1125,35,55,158,33,6,47,71,2
1126,26,63,102,35,5,46,61,0
1127,0,72,155,37,6,44,84,0
1129,35,92,252,34,7,59,82,0
1130,0,58,246,33,6,57,63,0
1131,21,45,146,35,4,62,115,1
1134,35,61,188,34,7,46,64,0
1135,43,67,174,35,6,54,80,0
1137,45,80,246,34,8,51,64,0
1138,15,104,249,33,6,67,87,0
1139,24,79,244,35,6,64,74,0
1140,30,80,227,36,6,63,91,0
1144,23,66,203,36,6,55,93,0
1147,45,71,230,34,5,76,64,0
1148,42,86,189,35,7,51,67,0
1152,25,118,210,33,5,78,67,0
1154,0,100,193,38,7,48,108,0
1155,25,118,210,33,5,78,67,0
1156,51,71,188,35,8,44,103,0
1161,43,76,195,34,8,44,70,0
1164,24,78,227,34,7,52,68,0
1166,26,111,231,31,10,40,65,0
1167,39,74,189,35,9,38,87,0
1168,27,67,156,34,6,48,66,0
1169,29,86,183,35,6,56,63,0
1170,34,62,222,33,7,51,63,0
1171,0,78,188,36,7,44,84,0
1172,46,74,217,34,7,53,63,0
1173,31,79,233,36,6,64,84,0
1174,31,79,233,36,6,64,84,0
1178,0,41,147,38,7,33,75,0
1179,33,76,206,34,8,44,69,0
1182,40,68,242,35,9,43,99,0
1183,7,70,200,34,6,52,74,0
1185,30,85,147,35,5,60,64,0
1186,3,79,213,37,5,67,64,0
1187,30,85,147,35,5,60,64,0
1188,23,80,192,35,7,48,69,0
1189,5,75,210,34,4,81,63,0
1193,0,166,195,37,5,80,64,0
1195,22,78,214,37,6,59,79,0
1196,23,76,226,34,6,60,81,0
1199,23,76,226,34,6,60,81,0
1200,21,69,173,33,5,60,62,0
1201,36,65,164,34,5,60,63,0
1203,19,111,271,33,6,73,91,0
1204,46,74,191,36,8,44,82,0
1206,46,74,191,36,8,44,82,0
1207,55,136,241,35,9,52,82,0
1208,46,74,191,36,8,44,82,0
1211,15,76,199,35,6,55,80,0
1212,2,78,182,35,6,50,66,0
1213,42,71,220,33,8,46,63,0
1216,31,79,224,34,7,53,68,0
1219,40,44,178,33,8,37,83,2
1224,49,80,280,32,8,56,66,0
1225,23,91,281,33,5,86,76,0
1226,3,80,204,32,5,64,85,0
1227,25,104,245,34,7,59,66,0
1229,29,75,233,36,6,63,77,0
1232,29,75,233,36,6,63,77,0
1233,37,57,209,34,5,68,72,0
1234,1,59,123,35,4,55,69,0
1237,1,59,123,35,4,55,69,0
1238,0,81,252,35,5,74,70,0
1240,20,76,182,32,4,78,94,1
1242,41,58,163,34,6,50,73,0
