Cust_ID,Email_Clicks,SM_Comments,App_Clicks,SM_Likes,SM_Shares,SM_Clicks,fitness_gym,hiking_running,teamgames,outdooractivities,totalproducts,Avg_Spent,Days_Since_Last_Purchase,cluster_id,education_level,dependents,city,age,sex
119,16,1,58,0,1,13,8,97,204,35,5,69,80,00,High School,False,Birmingham,28,male
123,11,21,4,52,18,10,0,80,243,36,5,72,69,10,less than high school,True,other,37,female
124,0,20,2,45,22,16,17,82,206,35,5,68,79,10,less than high school,False,Birmingham,24,female
125,15,1,66,1,1,8,4,146,262,33,7,64,85,00,PhD,False,other,24,female
127,17,14,4,40,25,5,0,82,215,37,5,67,61,10,High School,False,other,20,female
128,2,22,3,38,11,0,16,65,211,36,9,37,61,10,High School,False,London,38,female
129,5,14,5,35,21,8,15,72,195,36,6,53,64,10,High School,False,other,18,female
131,61,0,6,11,2,97,9,49,153,38,6,42,75,20,High School,False,Birmingham,56,male
132,47,1,4,11,2,69,9,49,153,38,6,42,75,20,less than high school,False,other,69,male
134,25,1,119,2,0,8,5,84,204,34,6,55,71,00,Master,False,Birmingham,27,female
137,66,1,5,2,0,60,36,81,234,36,6,65,71,20,less than high school,True,Birmingham,62,male
138,31,3,96,1,0,19,19,81,211,35,5,70,73,00,Bachelor,False,other,55,female
141,8,21,2,37,12,12,15,89,225,34,8,46,68,10,Master,True,Birmingham,57,female
142,12,2,44,0,2,8,0,50,104,38,8,24,85,00,less than high school,True,Birmingham,24,male
146,51,1,4,1,0,69,2,87,169,37,5,59,79,20,High School,False,London,31,female
148,23,0,82,4,1,15,10,74,204,36,6,54,70,00,PhD,False,other,21,male
149,14,24,0,42,24,1,44,89,241,37,6,69,69,10,Master,False,other,23,female
150,17,10,1,60,19,19,47,77,201,35,5,72,63,10,Bachelor,False,London,21,female
152,84,0,7,7,1,80,3,95,183,35,5,64,83,20,High School,False,Birmingham,73,male
153,7,10,2,87,9,6,3,95,183,35,5,64,83,10,Master,False,other,30,female
155,28,4,89,6,1,11,42,71,236,36,7,55,86,00,High School,False,Birmingham,22,female
156,42,2,3,7,2,53,42,70,236,36,7,55,87,20,Bachelor,True,Birmingham,22,male
159,33,2,4,6,0,54,18,79,225,38,6,60,76,20,Master,False,London,21,female
160,2,8,3,78,9,2,3,90,204,33,6,55,65,10,Master,True,London,29,female
161,6,10,3,61,23,11,2,72,218,33,11,30,67,10,less than high school,True,London,22,female
162,32,1,7,2,0,94,4,76,215,35,6,55,75,20,Master,False,other,29,male
163,2,14,2,52,25,5,26,70,257,35,5,78,94,10,High School,True,other,26,female
164,8,16,3,15,18,13,26,70,255,35,5,78,93,10,PhD,False,Birmingham,20,female
165,30,1,3,5,0,67,48,100,208,33,6,65,72,20,Bachelor,False,other,22,male
166,9,4,59,5,1,11,10,85,197,35,5,66,76,00,High School,False,London,37,male
167,9,9,5,53,13,19,3,72,197,35,5,62,75,10,Master,False,other,28,female
168,86,2,4,6,2,71,7,89,190,36,6,54,69,20,High School,False,other,35,male
171,4,18,2,55,12,7,17,73,234,34,6,60,64,10,Master,False,Birmingham,35,female
173,17,11,0,83,7,11,5,68,208,36,6,53,82,10,less than high school,False,Birmingham,21,female
176,38,0,3,5,2,54,21,80,208,35,5,69,65,20,High School,True,other,22,male
177,6,7,3,20,13,16,42,87,234,37,6,67,66,10,less than high school,False,Birmingham,26,female
178,7,11,3,50,20,3,0,68,227,36,6,56,65,10,Bachelor,False,London,19,female
179,13,8,0,37,21,17,14,67,227,33,6,57,68,10,High School,False,other,20,female
184,28,1,42,3,2,11,21,79,229,37,6,61,66,00,less than high school,False,Birmingham,29,female
185,16,24,0,26,21,5,57,111,232,34,5,87,84,11,less than high school,False,London,26,female
186,16,12,2,52,19,11,48,82,234,35,6,67,72,10,Master,False,Birmingham,30,male
187,36,3,118,4,1,7,10,84,243,35,5,75,67,00,less than high school,False,Birmingham,31,male
188,52,1,6,5,2,71,33,84,225,33,6,63,73,20,Master,True,other,26,male
189,16,1,61,5,2,17,32,82,225,33,6,62,75,00,Bachelor,False,Birmingham,29,female
190,15,12,1,17,22,17,35,77,243,34,6,65,79,10,Master,False,other,59,female
192,24,0,1,11,2,81,12,99,227,34,6,62,74,20,PhD,False,other,31,female
193,31,2,4,1,1,51,21,71,215,34,6,57,65,20,High School,False,London,21,male
195,9,24,0,22,15,3,33,74,225,34,5,74,82,10,Master,False,other,21,female
197,68,1,5,6,0,71,60,67,255,32,10,42,70,20,High School,False,Birmingham,55,female
198,22,1,54,5,2,20,8,46,123,37,8,27,71,00,High School,False,other,33,male
202,26,2,123,0,1,11,11,75,193,35,8,40,74,00,PhD,False,London,25,female
203,9,20,0,80,7,9,35,88,208,35,6,61,74,10,High School,True,Birmingham,18,female
204,23,0,1,2,0,82,36,89,210,35,6,62,72,20,PhD,False,London,20,male
206,0,8,0,72,10,10,74,95,285,33,8,61,67,10,Bachelor,False,other,30,female
207,30,2,122,0,2,4,31,69,212,34,5,70,84,00,Bachelor,True,other,27,male
208,20,3,66,3,1,19,28,100,220,34,7,55,76,00,Bachelor,True,other,29,male
209,37,2,7,3,2,50,58,54,252,35,9,45,65,20,High School,False,other,22,female
210,16,1,66,0,2,18,60,39,203,34,9,38,63,00,less than high school,False,other,29,male
211,39,1,7,1,2,96,24,83,226,35,6,62,68,20,Bachelor,False,Birmingham,22,male
212,14,3,75,5,0,14,64,59,252,34,7,59,63,00,High School,True,London,23,female
213,70,0,2,11,2,88,26,60,204,34,4,81,86,21,High School,True,other,23,male
215,7,16,2,15,16,13,49,60,239,35,8,48,84,10,Bachelor,False,other,28,female
216,9,14,4,63,22,5,16,101,211,33,6,61,71,10,PhD,False,other,18,female
217,1,7,1,64,14,11,22,72,222,35,6,59,69,10,Master,True,other,26,male
218,75,2,2,6,2,75,19,76,199,35,5,66,68,20,High School,True,other,63,female
219,11,2,103,6,0,5,33,80,219,34,6,61,82,00,Master,False,other,26,male
220,24,0,2,4,1,99,37,82,215,35,6,62,82,20,High School,True,other,31,female
221,12,24,3,78,22,0,26,101,199,33,6,60,74,10,Master,False,Birmingham,65,female
222,47,1,1,8,0,55,4,57,189,36,6,48,63,20,PhD,False,Birmingham,21,male
224,76,2,1,5,1,71,36,89,240,35,6,67,73,20,Master,True,Birmingham,23,male
225,11,15,3,29,22,9,25,73,210,35,6,58,87,10,High School,False,London,21,female
228,12,18,3,48,16,15,25,73,210,35,6,58,87,10,Master,False,London,40,female
229,15,17,0,88,24,0,25,81,226,36,5,74,68,10,High School,False,London,26,female
235,14,20,3,72,9,12,0,97,224,35,6,60,72,10,High School,True,other,32,female
236,3,17,1,32,25,16,0,97,224,35,6,60,72,10,High School,False,other,26,female
237,14,17,5,68,10,8,0,97,224,35,6,60,73,10,High School,True,Birmingham,49,female
238,12,0,62,0,2,3,0,97,224,35,6,60,72,00,Master,True,London,31,male
239,43,1,0,7,0,71,9,65,226,35,6,56,65,20,PhD,False,other,59,female
242,6,0,61,7,1,7,10,102,198,32,5,69,86,00,Bachelor,False,Birmingham,30,female
244,32,0,6,8,2,53,44,75,300,32,8,57,68,20,Bachelor,False,London,61,female
245,18,0,126,2,2,8,0,84,259,38,10,39,64,00,High School,False,other,45,male
246,16,24,0,67,21,6,7,75,226,35,5,69,74,10,Bachelor,False,other,21,female
247,17,12,4,80,24,17,17,72,213,33,4,84,69,11,Master,False,Birmingham,23,female
248,23,1,7,5,2,80,6,74,210,35,5,65,67,20,Master,False,other,23,female
249,15,9,0,28,9,5,0,84,259,38,10,39,64,10,High School,False,other,23,female
251,9,11,1,71,24,8,0,74,234,36,7,50,74,10,PhD,False,London,32,male
252,71,0,0,5,1,88,48,90,266,33,5,88,63,20,Bachelor,True,Birmingham,59,male
254,36,0,112,3,2,7,0,74,234,36,7,50,74,00,less than high school,True,Birmingham,52,male
256,19,20,5,64,17,4,37,75,252,34,6,67,63,10,Master,False,Birmingham,32,female
257,83,0,4,1,2,81,0,75,225,36,7,48,70,20,less than high school,False,other,22,male
261,20,2,101,0,0,5,4,87,198,35,6,54,70,00,High School,False,Birmingham,34,male
263,35,1,5,0,0,102,23,77,213,34,7,50,81,20,High School,False,Birmingham,20,male
264,64,1,6,3,0,72,49,64,297,32,9,50,63,20,High School,False,Birmingham,21,male
265,18,10,5,47,24,15,52,71,225,33,7,55,64,10,Master,False,other,22,female
267,11,3,46,0,2,8,46,78,236,35,9,44,73,00,Bachelor,False,other,30,male
269,17,9,2,42,26,10,51,104,290,34,10,48,62,10,High School,False,other,26,female
270,13,22,0,78,18,16,6,87,218,35,7,50,85,10,less than high school,False,Birmingham,46,female
275,1,22,3,85,18,4,6,87,218,35,7,50,85,10,less than high school,True,other,51,female
276,5,2,109,4,2,17,4,77,269,39,9,44,65,00,High School,True,Birmingham,48,male
279,10,1,101,6,1,1,32,87,278,35,8,54,68,00,High School,False,London,28,male
280,17,23,3,42,15,13,44,71,266,33,8,52,64,10,Bachelor,False,Birmingham,24,female
283,36,3,122,1,2,4,32,87,278,35,8,54,68,00,less than high school,True,other,32,female
284,80,1,4,7,2,92,7,102,302,35,7,64,90,20,High School,False,other,58,male
285,8,14,4,66,21,5,7,102,302,35,7,64,90,10,less than high school,False,Birmingham,63,female
288,71,2,4,7,1,94,9,91,243,35,9,42,78,20,High School,False,other,21,female
289,48,1,4,9,2,79,53,105,322,33,10,52,91,20,Bachelor,False,other,29,female
290,75,2,1,4,2,94,9,91,243,35,9,42,78,20,Bachelor,True,other,71,male
294,19,20,1,24,26,1,52,94,331,32,8,64,75,10,Bachelor,False,London,56,female
296,17,16,3,15,22,6,37,86,255,33,5,83,84,11,PhD,False,other,18,female
297,12,19,2,63,20,5,6,83,265,38,7,56,66,10,High School,False,Birmingham,35,female
298,86,1,0,10,2,68,2,94,283,38,8,53,63,20,less than high school,True,other,34,female
299,82,0,0,5,1,95,6,80,263,38,7,56,66,20,High School,False,other,57,male
301,20,4,64,4,0,21,48,68,236,34,6,65,65,00,less than high school,False,Birmingham,55,male
303,19,11,1,61,15,6,12,186,206,35,5,88,63,10,High School,False,Birmingham,26,female
304,4,12,5,17,21,6,60,112,236,33,5,89,70,11,High School,False,other,19,female
305,0,16,1,82,13,4,48,63,294,33,6,73,64,10,Master,False,London,22,female
309,76,0,5,3,0,61,38,62,225,36,5,73,67,20,High School,False,Birmingham,21,female
310,9,23,5,37,14,19,48,63,294,33,6,73,64,10,Master,False,other,20,female
313,9,21,1,20,18,5,30,76,243,34,5,77,88,11,Master,False,London,32,female
314,77,2,4,8,1,100,29,87,217,35,7,53,84,20,High School,False,Birmingham,65,female
315,76,2,7,5,1,99,29,96,211,36,6,62,78,20,Master,True,London,66,male
317,23,0,0,0,2,64,12,82,268,34,6,66,88,20,Bachelor,True,London,28,male
318,6,22,4,84,7,11,39,83,273,35,7,62,79,10,High School,True,London,64,female
319,52,1,1,0,0,64,12,82,268,34,6,66,88,20,Master,True,Birmingham,71,female
320,33,2,0,11,2,54,39,83,273,35,7,62,79,20,High School,False,other,70,female
322,33,4,43,7,1,4,5,79,237,34,6,60,64,00,High School,False,Birmingham,30,female
326,2,7,1,77,20,14,66,121,248,32,7,67,64,10,Bachelor,False,other,33,female
327,19,9,4,20,17,10,50,107,252,34,8,56,63,10,High School,False,other,25,female
328,8,2,40,7,1,18,62,82,304,33,7,69,64,00,Bachelor,False,other,26,female
332,22,2,75,3,1,6,28,66,236,34,5,73,79,00,High School,False,London,57,male
333,4,3,103,0,1,13,8,105,201,33,5,70,74,00,PhD,False,Birmingham,54,female
334,67,1,2,1,2,51,1,78,213,35,7,47,75,20,Master,False,Birmingham,33,male
335,32,0,75,1,2,13,53,128,280,33,8,62,65,00,Master,False,London,56,male
336,18,18,5,72,26,3,45,52,178,35,7,45,64,10,High School,True,other,21,female
337,71,1,5,4,0,72,32,80,239,35,6,65,87,20,High School,False,Birmingham,20,female
343,19,4,69,6,0,21,47,118,257,34,8,57,64,00,High School,False,other,36,female
344,18,10,1,32,12,6,50,82,313,33,8,60,64,10,Bachelor,False,other,22,female
347,16,20,3,83,24,3,67,93,266,32,9,51,64,10,High School,False,London,38,male
348,14,24,1,79,20,12,31,89,250,32,9,45,73,10,High School,False,other,25,female
349,5,22,1,71,21,5,0,93,285,35,9,46,69,10,less than high school,False,other,26,female
351,6,16,5,82,8,15,0,96,285,35,8,52,69,10,High School,False,other,25,female
352,62,1,3,4,2,87,0,90,239,34,7,52,66,20,High School,False,Birmingham,59,male
353,2,19,0,29,26,18,79,120,341,33,8,72,81,10,Master,False,other,33,female
354,16,16,4,29,7,18,40,66,95,34,6,40,98,12,High School,False,other,37,female
355,5,12,5,72,13,3,1,78,195,37,6,52,75,10,PhD,False,Birmingham,21,female
357,14,4,108,1,1,9,66,116,229,34,8,56,70,00,Master,False,other,26,female
358,85,0,3,11,1,68,66,109,299,33,8,64,68,20,Bachelor,False,other,37,male
360,24,3,50,2,0,2,23,99,236,33,7,56,72,00,High School,False,Birmingham,25,female
362,1,21,5,38,15,14,66,72,280,32,6,75,64,11,Master,False,other,29,male
364,53,0,7,2,1,58,66,83,350,32,7,76,65,20,Master,False,other,71,male
365,85,2,5,2,0,91,50,107,250,34,9,49,65,20,Bachelor,False,other,72,male
366,11,9,5,64,13,1,66,83,350,32,7,76,65,10,High School,False,Birmingham,26,female
368,6,24,3,64,8,15,52,159,294,33,6,90,73,10,Bachelor,False,Birmingham,20,male
369,25,4,68,5,2,20,53,74,211,33,11,34,64,00,Bachelor,False,Birmingham,61,male
370,40,2,4,2,2,72,2,63,241,37,8,43,93,20,High School,False,other,67,male
374,60,1,1,6,0,96,63,89,331,31,8,65,64,20,High School,False,Birmingham,21,male
375,14,13,2,86,22,8,71,124,262,31,8,61,64,10,Bachelor,False,London,26,female
378,12,18,4,42,18,17,66,88,271,32,10,46,64,10,Bachelor,True,other,20,female
379,72,0,3,9,2,72,38,94,250,35,7,60,82,20,PhD,True,other,22,male
380,51,1,6,3,1,100,42,80,239,34,8,50,69,20,Master,False,other,71,male
381,63,1,7,3,1,68,68,85,331,32,8,65,75,20,Bachelor,True,other,60,female
382,47,0,5,0,0,68,42,80,239,34,8,50,69,20,High School,False,other,54,male
383,19,16,4,16,25,11,42,80,239,34,8,50,69,10,High School,False,Birmingham,24,female
384,16,23,1,20,17,15,28,87,252,36,7,58,81,10,less than high school,True,other,33,female
385,19,1,99,7,2,15,7,90,250,36,8,48,69,00,PhD,True,other,25,female
386,5,22,0,16,11,19,26,88,255,36,7,58,81,10,High School,False,London,31,female
387,18,19,1,32,10,11,15,79,234,35,5,73,75,10,High School,False,Birmingham,56,female
388,17,4,105,3,0,8,26,88,255,36,7,58,81,00,High School,False,Birmingham,29,female
392,10,13,1,75,21,11,52,82,252,33,5,84,64,11,Bachelor,True,other,31,male
393,9,1,63,0,0,7,61,112,229,33,5,87,71,01,High School,False,London,24,male
395,10,9,0,70,22,13,76,66,308,34,6,81,65,11,Master,True,Birmingham,18,female
396,16,13,3,61,19,7,2,122,285,36,5,89,126,10,PhD,True,Birmingham,38,female
397,29,1,77,4,2,9,59,87,271,33,6,75,71,00,Bachelor,False,Birmingham,25,male
398,34,1,74,4,1,0,59,87,271,33,6,75,71,00,High School,False,other,29,female
399,6,22,0,45,16,7,22,64,213,32,6,56,67,10,Bachelor,False,London,20,female
403,28,3,39,3,2,1,49,85,285,33,6,76,68,00,High School,False,Birmingham,28,male
404,10,17,0,54,8,1,5,75,239,34,6,59,73,10,High School,True,Birmingham,39,female
405,36,0,96,3,2,9,46,59,220,35,8,45,69,00,Master,False,other,30,male
406,16,13,3,55,8,9,47,63,255,34,6,67,67,10,PhD,True,other,40,female
409,55,1,1,1,2,97,49,70,255,32,6,68,84,21,Bachelor,False,other,37,male
410,81,0,4,1,1,54,34,80,269,35,6,70,84,20,Master,False,other,64,female
411,5,23,1,39,8,2,35,80,269,35,6,70,81,10,Bachelor,False,other,20,male
412,9,24,0,30,15,6,16,100,220,34,6,62,73,10,Master,False,other,38,male
415,12,3,96,0,0,0,24,117,331,35,11,47,89,00,High School,False,Birmingham,66,female
417,16,17,5,31,13,9,12,91,197,36,5,68,92,10,High School,False,London,22,male
418,12,2,60,1,0,12,51,121,290,34,8,62,65,00,Bachelor,False,other,50,male
419,13,23,4,36,26,5,0,66,243,38,7,50,92,10,High School,False,other,22,female
420,50,0,7,1,2,72,33,89,234,34,7,56,93,20,Bachelor,False,other,33,male
421,9,20,4,24,16,19,3,59,188,37,6,48,90,10,High School,False,London,54,female
423,13,7,5,82,16,12,47,66,248,33,9,44,64,10,Master,False,Birmingham,21,female
425,17,24,1,43,11,8,3,59,188,37,6,48,90,10,High School,True,other,23,female
426,47,0,2,2,1,92,8,45,181,36,5,54,77,20,less than high school,False,Birmingham,35,male
427,37,2,7,9,2,50,22,77,271,34,6,68,64,20,High School,False,Birmingham,55,male
428,27,4,118,2,0,17,33,70,248,34,6,65,67,00,Master,False,other,28,male
429,76,2,5,4,2,51,63,88,292,32,6,80,71,21,Bachelor,False,other,35,male
431,4,20,1,21,7,15,35,74,239,34,6,64,79,10,Bachelor,True,Birmingham,23,male
433,30,2,4,8,0,72,63,91,308,33,5,99,64,21,Bachelor,False,other,61,male
437,42,2,4,6,1,74,73,66,266,33,7,63,64,20,High School,False,other,34,male
439,50,2,6,7,0,99,18,62,185,32,6,50,65,20,Bachelor,False,other,23,male
440,20,3,45,4,1,8,72,72,269,30,8,56,64,00,Bachelor,False,Birmingham,25,male
444,85,2,0,5,1,78,1,54,146,37,8,30,63,20,High School,True,other,32,male
445,41,0,2,8,1,82,10,79,266,34,6,65,64,20,High School,True,other,56,female
446,7,15,1,15,18,1,60,81,290,32,7,67,89,11,Master,False,other,35,female
447,19,12,5,80,22,17,29,127,225,34,7,60,64,10,PhD,False,other,24,female
449,29,4,115,5,2,17,69,95,285,32,6,81,75,01,High School,False,London,37,female
452,15,1,113,5,1,14,3,84,225,36,6,58,76,00,less than high school,False,London,65,male
457,17,0,119,7,2,8,21,97,271,34,6,71,87,00,PhD,True,other,29,male
462,17,2,77,6,0,0,68,85,229,33,6,70,68,00,Bachelor,False,Birmingham,25,male
463,36,3,57,0,1,19,70,98,234,32,5,87,83,01,Bachelor,True,other,24,male
465,17,7,2,72,26,13,40,98,313,36,9,55,68,10,High School,False,other,25,female
466,75,0,5,3,2,74,42,69,257,33,7,58,79,20,less than high school,False,Birmingham,31,female
467,16,7,4,19,7,2,45,65,176,35,8,41,65,10,Bachelor,False,other,19,female
468,15,22,5,50,24,4,69,90,299,33,6,82,64,10,Master,False,other,37,male
469,13,19,1,61,19,11,2,70,188,33,6,49,94,10,High School,False,other,20,female
470,0,12,4,21,13,2,65,93,290,32,6,80,73,11,High School,False,Birmingham,42,male
471,0,21,1,38,18,5,42,81,229,33,7,55,83,10,High School,False,Birmingham,37,female
472,18,13,1,28,24,11,55,83,287,33,8,58,83,10,High School,False,Birmingham,22,female
474,84,2,7,8,0,68,51,80,257,33,9,47,68,20,High School,False,other,69,male
475,11,19,4,68,21,15,24,87,271,33,6,70,63,10,Bachelor,False,other,38,female
476,58,2,0,0,1,66,41,91,252,34,7,60,64,20,Bachelor,False,Birmingham,65,male
477,45,1,4,8,0,80,49,75,246,33,11,37,64,20,PhD,False,other,24,male
478,4,15,0,18,26,3,24,87,271,33,6,70,63,10,Master,True,London,26,female
483,15,9,0,22,24,9,60,152,266,32,11,47,65,10,High School,False,Birmingham,49,female
485,4,24,0,80,14,13,39,54,243,33,5,74,64,10,Bachelor,False,Birmingham,24,female
486,12,10,4,42,20,13,39,54,243,33,5,74,64,10,Bachelor,False,other,33,female
487,12,7,0,88,17,4,36,53,257,33,4,95,63,11,Bachelor,False,other,20,female
491,51,0,0,7,0,90,50,55,188,35,8,41,70,20,Bachelor,False,other,23,female
493,17,19,4,40,15,5,31,86,304,36,7,66,81,10,High School,False,Birmingham,24,female
494,12,8,2,55,25,10,23,51,188,36,6,50,86,10,Master,False,other,24,female
495,51,1,6,10,0,63,53,70,234,33,6,65,63,20,Bachelor,False,London,32,male
497,6,19,1,54,17,12,32,90,220,35,8,48,101,10,High School,False,Birmingham,23,female
498,25,2,4,3,2,67,53,70,234,33,6,65,63,20,Bachelor,False,Birmingham,23,male
499,22,0,95,7,2,18,31,86,304,36,7,66,81,00,High School,False,other,45,male
500,36,1,4,0,2,87,25,81,262,36,6,68,72,20,High School,True,Birmingham,22,male
501,16,22,2,57,22,18,73,74,276,33,8,57,96,11,High School,False,other,20,female
502,15,15,1,79,12,16,73,74,276,33,8,57,96,11,Bachelor,False,other,21,female
503,10,14,0,38,18,12,47,78,243,33,10,41,64,10,High School,False,other,32,female
506,3,4,59,0,0,0,46,75,243,34,10,40,64,00,Master,False,other,47,male
509,17,21,1,64,11,7,75,84,266,32,7,66,81,11,High School,False,other,18,female
510,6,8,4,24,22,17,49,73,248,32,6,67,77,11,Master,False,other,18,female
511,57,2,4,8,1,93,31,90,285,33,6,74,84,20,Bachelor,False,London,54,male
512,0,23,5,88,18,6,48,125,252,32,8,58,73,10,Bachelor,False,other,23,female
513,14,7,3,30,7,1,64,107,236,32,7,63,64,10,Bachelor,False,other,27,female
514,85,0,0,7,2,95,64,107,236,32,7,63,64,20,Bachelor,False,other,33,male
518,86,2,3,8,0,54,49,88,234,34,7,58,69,20,Bachelor,False,Birmingham,63,male
520,18,14,2,68,10,15,49,88,257,36,9,48,73,10,Master,True,other,18,female
523,32,1,1,6,1,54,49,85,248,34,6,70,96,21,Bachelor,False,London,66,male
524,9,0,94,2,1,20,49,86,243,34,6,69,81,00,Bachelor,False,other,78,male
525,17,0,114,4,1,14,24,105,294,34,7,66,87,00,Master,False,Birmingham,28,male
527,61,0,7,1,1,77,49,97,211,35,8,49,91,20,High School,True,other,70,male
528,18,3,90,5,1,21,49,84,271,35,8,55,90,00,Bachelor,False,Birmingham,47,female
530,4,22,4,61,23,0,24,78,276,36,9,46,59,10,Master,False,London,20,female
532,7,9,0,37,7,3,49,98,308,33,6,82,70,10,Bachelor,False,Birmingham,20,female
533,13,24,2,60,16,0,24,72,197,34,7,47,73,10,High School,False,London,18,female
535,10,10,5,24,8,18,24,78,276,36,9,46,59,10,Master,False,other,23,female
537,15,4,115,5,2,16,24,84,234,35,8,48,63,00,High School,False,other,27,female
539,16,10,1,52,25,13,74,100,290,34,6,83,63,10,Bachelor,False,Birmingham,24,female
540,78,2,2,5,0,84,24,101,271,34,7,62,78,20,High School,True,other,71,male
541,9,18,2,82,23,4,49,64,271,34,7,60,63,10,Bachelor,False,other,23,male
