Cust_ID,education_level,dependents,city,age,sex
384,less than high school,True,other,33,female
385,PhD,True,other,25,female
386,High School,False,London,31,female
387,High School,False,Birmingham,56,female
388,High School,False,Birmingham,29,female
392,Bachelor,True,other,31,male
393,High School,False,London,24,male
395,Master,True,Birmingham,18,female
396,PhD,True,Birmingham,38,female
397,Bachelor,False,Birmingham,25,male
398,High School,False,other,29,female
399,Bachelor,False,London,20,female
403,High School,False,Birmingham,28,male
404,High School,True,Birmingham,39,female
405,Master,False,other,30,male
406,PhD,True,other,40,female
409,Bachelor,False,other,37,male
410,Master,False,other,64,female
411,Bachelor,False,other,20,male
412,Master,False,other,38,male
415,High School,False,Birmingham,66,female
417,High School,False,London,22,male
418,Bachelor,False,other,50,male
419,High School,False,other,22,female
420,Bachelor,False,other,33,male
421,High School,False,London,54,female
423,Master,False,Birmingham,21,female
425,High School,True,other,23,female
426,less than high school,False,Birmingham,35,male
427,High School,False,Birmingham,55,male
428,Master,False,other,28,male
429,Bachelor,False,other,35,male
431,Bachelor,True,Birmingham,23,male
433,Bachelor,False,other,61,male
437,High School,False,other,34,male
439,Bachelor,False,other,23,male
440,Bachelor,False,Birmingham,25,male
444,High School,True,other,32,male
445,High School,True,other,56,female
446,Master,False,other,35,female
447,PhD,False,other,24,female
449,High School,False,London,37,female
451,Bachelor,False,Birmingham,73,male
452,less than high school,False,London,65,male
457,PhD,True,other,29,male
462,Bachelor,False,Birmingham,25,male
463,Bachelor,True,other,24,male
465,High School,False,other,25,female
466,less than high school,False,Birmingham,31,female
467,Bachelor,False,other,19,female
468,Master,False,other,37,male
469,High School,False,other,20,female
470,High School,False,Birmingham,42,male
471,High School,False,Birmingham,37,female
472,High School,False,Birmingham,22,female
474,High School,False,other,69,male
475,Bachelor,False,other,38,female
476,Bachelor,False,Birmingham,65,male
477,PhD,False,other,24,male
478,Master,True,London,26,female
483,High School,False,Birmingham,49,female
485,Bachelor,False,Birmingham,24,female
486,Bachelor,False,other,33,female
487,Bachelor,False,other,20,female
491,Bachelor,False,other,23,female
493,High School,False,Birmingham,24,female
494,Master,False,other,24,female
495,Bachelor,False,London,32,male
497,High School,False,Birmingham,23,female
498,Bachelor,False,Birmingham,23,male
499,High School,False,other,45,male
500,High School,True,Birmingham,22,male
501,High School,False,other,20,female
502,Bachelor,False,other,21,female
503,High School,False,other,32,female
506,Master,False,other,47,male
509,High School,False,other,18,female
510,Master,False,other,18,female
511,Bachelor,False,London,54,male
512,Bachelor,False,other,23,female
513,Bachelor,False,other,27,female
514,Bachelor,False,other,33,male
517,Bachelor,False,Birmingham,74,female
518,Bachelor,False,Birmingham,63,male
520,Master,True,other,18,female
523,Bachelor,False,London,66,male
524,Bachelor,False,other,78,male
525,Master,False,Birmingham,28,male
527,High School,True,other,70,male
528,Bachelor,False,Birmingham,47,female
530,Master,False,London,20,female
532,Bachelor,False,Birmingham,20,female
533,High School,False,London,18,female
535,Master,False,other,23,female
537,High School,False,other,27,female
539,Bachelor,False,Birmingham,24,female
540,High School,True,other,71,male
541,Bachelor,False,other,23,male
543,Bachelor,False,other,26,male
546,less than high school,False,Birmingham,38,female
547,Bachelor,False,other,23,male
549,Bachelor,False,Birmingham,40,male
550,less than high school,False,Birmingham,28,female
551,Master,False,London,18,female
552,Bachelor,False,Birmingham,65,female
553,High School,False,other,30,male
554,less than high school,False,other,19,female
556,High School,False,other,25,female
558,Master,False,Birmingham,22,female
559,Master,False,other,20,female
560,Bachelor,False,other,24,female
561,Bachelor,False,Birmingham,51,female
563,High School,False,London,78,female
564,High School,False,other,23,male
565,Bachelor,False,other,21,female
566,Bachelor,False,other,22,male
568,Bachelor,False,other,24,female
569,High School,True,other,49,female
571,High School,False,other,22,female
573,PhD,False,Birmingham,19,female
574,Bachelor,False,Birmingham,45,male
575,Master,False,other,23,female
576,less than high school,False,London,30,female
577,High School,False,London,30,male
578,Bachelor,False,Birmingham,27,male
579,Master,False,other,25,male
580,Master,False,other,21,female
582,High School,False,other,34,female
583,Master,False,London,31,female
584,High School,True,Birmingham,28,female
585,High School,False,other,22,female
586,High School,False,London,28,female
589,High School,False,other,25,female
590,High School,False,London,24,female
591,High School,False,London,22,female
593,Bachelor,False,Birmingham,18,female
594,Bachelor,True,other,46,female
595,less than high school,False,Birmingham,41,female
596,Master,False,Birmingham,42,female
597,Bachelor,False,Birmingham,57,male
598,Master,False,London,22,male
599,Master,False,London,31,male
601,PhD,False,Birmingham,63,male
602,PhD,True,Birmingham,28,female
603,Bachelor,False,Birmingham,50,male
605,High School,False,London,28,female
606,Bachelor,True,London,26,male
607,Master,False,Birmingham,76,female
608,High School,False,London,27,male
610,Bachelor,False,London,19,female
611,Bachelor,False,Birmingham,25,female
613,Bachelor,False,other,34,female
614,Bachelor,False,Birmingham,23,male
615,High School,False,London,21,female
616,Bachelor,False,Birmingham,21,female
617,Master,False,other,30,male
618,less than high school,False,Birmingham,25,female
620,High School,False,London,80,female
621,High School,True,London,30,female
626,Master,False,Birmingham,31,female
627,High School,False,other,34,male
628,PhD,False,other,59,male
629,High School,True,Birmingham,55,male
630,less than high school,True,other,26,female
631,Master,False,Birmingham,47,female
632,High School,True,other,19,female
633,less than high school,False,other,28,female
637,High School,False,Birmingham,24,male
640,High School,False,other,26,female
641,less than high school,True,London,23,male
642,High School,False,Birmingham,27,male
643,less than high school,True,other,62,female
644,Bachelor,False,London,43,male
646,less than high school,True,other,69,female
647,High School,False,Birmingham,24,male
648,High School,False,other,34,male
649,Bachelor,False,Birmingham,28,male
653,Bachelor,False,other,27,male
654,Master,False,other,31,female
655,High School,False,other,54,male
658,Bachelor,False,London,22,male
661,less than high school,False,other,22,male
662,High School,False,other,28,male
664,High School,False,other,26,female
665,less than high school,False,other,20,female
667,less than high school,False,Birmingham,25,female
668,High School,False,Birmingham,22,female
669,Master,False,Birmingham,21,female
670,High School,False,other,63,female
671,less than high school,False,Birmingham,21,male
673,Bachelor,False,Birmingham,23,male
680,Master,False,Birmingham,68,male
681,High School,False,other,22,male
682,less than high school,False,other,22,female
684,less than high school,True,other,21,female
685,High School,False,other,29,female
689,Bachelor,False,other,26,female
691,less than high school,False,other,24,female
692,Bachelor,False,other,20,female
693,High School,False,Birmingham,40,female
694,less than high school,False,other,22,male
696,Bachelor,False,London,20,female
697,less than high school,True,other,18,female
698,High School,False,London,18,female
700,High School,False,Birmingham,22,female
701,Master,False,London,24,male
704,less than high school,False,other,69,male
706,High School,True,Birmingham,27,female
707,Master,True,London,30,female
709,Bachelor,False,Birmingham,28,female
711,High School,False,other,20,female
712,High School,False,other,24,female
714,less than high school,False,other,59,male
716,Master,True,other,20,female
717,High School,False,other,47,female
718,High School,True,other,37,male
720,less than high school,False,Birmingham,23,male
721,High School,True,other,24,female
722,High School,False,London,30,male
723,Bachelor,False,Birmingham,68,male
724,PhD,True,other,59,female
726,Bachelor,False,London,74,female
727,PhD,False,other,30,male
729,less than high school,False,Birmingham,37,female
730,High School,False,London,56,male
732,Master,False,London,25,female
733,PhD,False,Birmingham,34,female
734,PhD,False,London,58,female
735,High School,False,other,24,male
736,High School,False,other,33,female
738,Bachelor,False,other,21,male
741,PhD,False,other,19,female
742,less than high school,False,other,32,female
743,Master,False,other,24,female
745,PhD,False,other,61,female
746,High School,False,Birmingham,65,male
748,High School,False,other,60,female
749,Bachelor,False,Birmingham,37,female
755,Master,False,London,34,female
756,Bachelor,False,other,23,female
758,High School,False,other,71,male
759,Bachelor,True,London,24,female
761,High School,False,other,27,male
765,less than high school,False,Birmingham,31,female
766,Bachelor,False,London,30,female
767,High School,False,London,31,male
768,Bachelor,False,other,23,male
769,High School,False,other,22,male
770,High School,False,Birmingham,24,male
771,Bachelor,True,other,32,female
773,High School,True,London,24,female
774,High School,False,other,36,male
775,High School,False,Birmingham,58,female
776,PhD,False,Birmingham,25,female
777,High School,False,other,30,male
780,High School,False,other,76,female
783,High School,False,other,21,female
784,High School,False,other,30,male
785,Master,False,other,59,male
787,High School,False,Birmingham,23,female
789,High School,False,Birmingham,33,female
790,Master,False,other,57,male
791,High School,False,other,25,female
792,High School,False,other,23,female
793,less than high school,False,other,24,male
795,Master,False,Birmingham,25,female
797,less than high school,True,Birmingham,71,male
798,Master,False,Birmingham,26,female
799,Bachelor,False,other,32,female
800,Master,True,other,36,male
803,High School,False,Birmingham,66,female
804,PhD,False,Birmingham,65,male
805,Master,False,Birmingham,24,female
806,High School,False,other,23,female
807,less than high school,False,London,28,female
808,Master,False,other,23,female
809,Bachelor,False,Birmingham,26,male
812,Bachelor,False,London,29,female
813,High School,False,Birmingham,38,male
814,Bachelor,False,other,38,female
815,PhD,False,London,21,male
816,High School,False,other,25,female
820,High School,False,London,23,female
822,less than high school,False,Birmingham,31,male
823,High School,False,London,70,female
824,Bachelor,False,other,37,male
825,High School,False,Birmingham,33,female
827,PhD,True,Birmingham,23,female
828,Master,True,other,22,female
830,PhD,False,Birmingham,30,male
831,Master,False,Birmingham,26,male
832,High School,False,other,21,female
833,High School,True,other,43,male
834,High School,True,Birmingham,22,female
835,High School,True,other,70,male
838,Master,False,Birmingham,25,female
841,Master,False,other,24,female
842,Bachelor,False,other,24,female
843,High School,False,other,28,male
846,High School,False,other,21,female
847,High School,False,Birmingham,33,male
849,High School,False,other,24,male
852,High School,True,other,22,female
853,High School,False,Birmingham,63,male
854,High School,False,other,26,male
856,Master,True,other,23,male
857,High School,False,Birmingham,51,female
858,High School,False,other,40,female
859,High School,False,other,21,female
860,PhD,False,other,55,female
861,less than high school,True,London,21,female
866,High School,False,London,23,female
872,High School,False,other,29,female
875,less than high school,False,other,19,female
876,Master,False,other,37,female
878,Master,True,other,25,female
879,less than high school,True,other,63,female
882,High School,True,Birmingham,67,male
883,High School,True,other,24,female
884,High School,False,other,29,female
885,PhD,False,other,43,female
887,Bachelor,False,Birmingham,23,female
888,Master,True,Birmingham,20,female
889,High School,False,other,55,male
890,PhD,False,Birmingham,62,female
891,High School,False,other,66,female
893,less than high school,False,other,67,male
895,High School,False,other,19,female
896,PhD,False,other,19,female
897,High School,False,other,63,female
900,High School,False,Birmingham,30,female
901,Master,True,other,24,female
902,Master,False,London,32,male
903,High School,False,Birmingham,21,female
904,High School,False,Birmingham,19,female
905,High School,False,Birmingham,33,male
909,Master,False,other,47,female
910,Master,False,other,26,female
912,Bachelor,False,London,26,female
913,High School,False,other,26,male
914,High School,False,other,23,male
916,High School,False,London,21,female
917,High School,True,London,33,female
918,Bachelor,False,other,69,male
919,Bachelor,True,other,61,male
920,Bachelor,False,other,57,male
921,Bachelor,False,other,25,female
923,High School,False,Birmingham,36,male
925,Bachelor,True,other,22,male
926,High School,False,Birmingham,20,female
927,Bachelor,False,other,42,female
928,Bachelor,False,Birmingham,22,male
929,less than high school,False,other,18,female
934,less than high school,False,Birmingham,24,female
935,PhD,False,Birmingham,35,male
937,High School,False,other,26,female
938,Master,False,Birmingham,22,male
939,Master,False,other,44,male
941,High School,False,other,70,female
944,Bachelor,False,London,29,male
945,Master,False,other,26,female
946,Bachelor,False,Birmingham,28,male
948,Master,False,other,26,female
949,High School,False,London,21,female
952,High School,True,other,24,female
956,Bachelor,True,London,22,female
957,Bachelor,False,other,19,female
958,High School,False,other,23,female
959,High School,False,Birmingham,19,female
960,High School,False,Birmingham,30,male
961,High School,False,other,55,female
963,Bachelor,False,other,26,female
964,High School,False,other,53,female
965,less than high school,False,Birmingham,36,female
966,Bachelor,True,London,33,male
967,Master,True,Birmingham,22,male
968,Master,False,Birmingham,18,male
969,Master,True,Birmingham,49,male
970,Bachelor,False,other,30,male
971,Bachelor,False,other,22,female
972,High School,False,other,24,female
973,High School,False,London,34,male
974,Bachelor,False,London,24,female
976,High School,True,other,58,male
977,less than high school,False,Birmingham,23,male
978,Master,False,Birmingham,74,female
981,High School,False,Birmingham,71,male
983,High School,True,London,38,female
984,PhD,False,other,26,female
987,Bachelor,True,other,46,male
988,PhD,False,other,25,female
989,less than high school,False,other,21,male
990,High School,False,London,33,male
992,less than high school,True,London,26,female
993,High School,True,other,55,male
994,High School,False,other,21,male
995,Bachelor,False,other,57,male
996,High School,True,other,18,female
997,Master,False,other,22,female
999,less than high school,False,Birmingham,19,female
1000,PhD,False,Birmingham,42,female
1001,Bachelor,False,other,21,male
1002,Master,False,other,62,male
1003,less than high school,False,Birmingham,22,female
1004,High School,False,London,21,male
1006,Master,False,Birmingham,29,female
1008,High School,False,Birmingham,18,male
1009,High School,False,other,36,male
1010,High School,False,other,29,female
1011,Bachelor,False,other,22,male
1012,High School,True,other,28,male
1013,High School,False,Birmingham,53,male
1014,less than high school,False,other,28,female
1016,Master,False,London,56,female
1017,Bachelor,False,other,62,female
1018,Bachelor,False,London,33,female
1019,High School,False,Birmingham,37,female
1022,Master,True,Birmingham,26,female
1024,Master,False,other,55,female
1025,High School,False,other,53,male
1027,Master,False,London,33,male
1028,Bachelor,False,Birmingham,21,female
1030,High School,False,other,52,female
1032,Bachelor,False,Birmingham,31,female
1033,High School,False,London,30,male
1034,Master,False,Birmingham,53,female
1035,PhD,False,Birmingham,56,male
1036,Bachelor,False,other,24,female
1037,less than high school,False,Birmingham,37,female
1039,High School,False,London,25,female
1040,High School,False,Birmingham,25,female
1041,High School,False,other,18,female
1043,Bachelor,False,London,25,male
1044,Bachelor,False,Birmingham,32,male
1045,Master,False,Birmingham,32,male
1046,High School,False,other,29,female
1049,High School,False,Birmingham,25,male
1051,High School,False,Birmingham,22,male
1054,High School,False,other,46,female
1055,Bachelor,False,other,71,female
1057,Bachelor,True,Birmingham,71,female
1059,Master,False,other,25,female
1062,Bachelor,False,Birmingham,21,female
1063,Bachelor,False,Birmingham,22,female
1064,less than high school,True,Birmingham,29,female
1065,High School,True,other,23,female
1066,Bachelor,False,Birmingham,20,female
1067,Bachelor,False,other,49,male
1068,less than high school,False,London,24,female
1069,High School,True,Birmingham,65,male
1071,High School,False,other,61,male
1073,Bachelor,True,Birmingham,21,male
1074,Master,False,Birmingham,60,male
1077,High School,True,other,26,female
1078,High School,True,other,20,female
1079,Bachelor,False,other,31,female
1082,High School,False,Birmingham,25,female
1083,Master,False,Birmingham,55,female
1084,High School,False,London,34,male
1085,less than high school,False,Birmingham,30,female
1086,High School,False,London,42,female
1087,Master,False,Birmingham,21,male
1088,less than high school,False,other,23,male
1089,Master,False,other,56,female
1090,High School,True,Birmingham,22,female
1091,Master,False,other,54,male
1093,PhD,False,Birmingham,26,female
1094,High School,True,other,29,male
1097,Bachelor,True,other,20,female
1102,PhD,True,other,63,male
1103,less than high school,False,other,27,male
1106,less than high school,False,other,23,female
1107,less than high school,True,other,25,male
1108,High School,True,Birmingham,23,female
1109,Bachelor,False,London,22,male
1110,High School,True,other,30,female
1112,High School,False,London,29,male
1113,Master,False,other,29,male
1114,less than high school,False,Birmingham,25,male
1115,less than high school,True,other,58,male
1116,High School,False,Birmingham,18,female
1117,Master,False,other,33,female
1119,High School,False,other,33,male
1120,Bachelor,False,Birmingham,25,female
1121,Bachelor,False,other,35,female
1122,High School,False,London,38,female
1123,High School,False,other,73,female
1125,Bachelor,False,Birmingham,23,male
1126,High School,False,Birmingham,29,male
1127,High School,False,Birmingham,24,female
1129,Master,False,other,36,male
1130,Master,False,Birmingham,32,female
1131,less than high school,True,other,19,female
1134,Bachelor,False,Birmingham,26,female
1135,Master,False,London,23,male
1137,Bachelor,False,Birmingham,57,female
1138,PhD,False,other,66,female
1139,High School,True,other,21,female
1140,High School,False,other,22,male
1144,High School,False,London,57,female
1147,Bachelor,False,Birmingham,35,female
1148,less than high school,False,London,51,male
1152,Bachelor,True,other,45,female
1154,less than high school,False,London,31,male
1155,High School,False,other,54,female
1156,less than high school,False,London,34,female
1161,Master,False,other,20,male
1164,Master,True,Birmingham,30,male
1166,High School,False,London,50,male
1167,High School,False,Birmingham,31,female
1168,High School,False,London,68,male
1169,High School,True,other,22,male
1170,High School,False,Birmingham,20,female
1171,Master,True,other,35,female
1172,High School,False,other,20,female
1173,High School,False,other,51,male
1174,High School,True,London,26,female
1178,less than high school,False,London,38,female
1179,High School,True,London,20,male
1182,High School,True,other,68,female
1183,less than high school,True,London,37,female
1185,less than high school,True,other,22,female
1186,High School,False,Birmingham,23,male
1187,Master,False,Birmingham,52,female
1188,less than high school,False,other,22,female
1189,Bachelor,True,Birmingham,66,male
1193,PhD,False,other,24,male
1195,Master,False,Birmingham,46,male
1196,PhD,False,other,20,female
1199,Master,False,Birmingham,30,female
1200,High School,True,London,23,male
1201,High School,False,other,71,male
1203,High School,False,other,54,female
1204,Bachelor,False,other,67,male
1206,High School,False,Birmingham,21,female
1207,Bachelor,False,other,20,female
1208,High School,True,Birmingham,20,female
1211,less than high school,True,Birmingham,73,female
1212,High School,False,London,45,female
1213,Bachelor,False,other,62,female
1216,High School,False,other,37,female
1219,Master,False,London,18,female
1224,Bachelor,False,other,53,female
1225,High School,True,other,19,female
1226,High School,False,London,34,female
1227,High School,False,other,24,female
1229,High School,False,other,41,male
1232,High School,True,London,27,male
1233,Bachelor,False,other,21,female
1234,PhD,False,Birmingham,25,male
1237,PhD,False,other,25,female
1238,Master,False,London,21,female
1240,Bachelor,True,London,35,female
1242,High School,False,other,38,female
1243,High School,False,Birmingham,26,female
1244,less than high school,True,Birmingham,20,male
1247,High School,False,Birmingham,28,female
1250,Master,False,other,33,male
1251,High School,True,other,26,female
1252,Bachelor,False,Birmingham,21,male
1254,High School,False,other,31,female
1255,Master,False,other,23,male
1256,High School,False,Birmingham,20,female
1259,less than high school,True,other,32,female
1260,less than high school,False,other,29,female
1262,Bachelor,False,other,46,female
1263,less than high school,False,other,67,male
1265,Master,False,other,19,female
1266,High School,False,Birmingham,61,male
1268,less than high school,False,Birmingham,32,male
1270,High School,False,London,49,female
1271,High School,False,other,22,male
1273,High School,True,other,23,female
1275,PhD,True,London,23,female
1276,Bachelor,False,Birmingham,32,female
1277,High School,True,other,71,female
1279,Bachelor,False,other,52,female
1280,less than high school,False,other,24,female
1283,Master,False,other,23,female
1284,High School,False,London,25,male
1285,Master,False,other,31,female
1286,Bachelor,False,Birmingham,18,male
1289,Bachelor,False,other,46,female
1290,less than high school,False,other,28,male
1292,High School,False,other,57,female
1293,less than high school,False,London,20,female
1294,High School,False,Birmingham,51,female
1295,less than high school,True,other,72,male
1296,less than high school,True,Birmingham,69,male
1298,High School,True,other,26,female
1300,less than high school,False,other,26,male
1302,Master,False,other,53,male
1303,Bachelor,False,Birmingham,52,male
1304,High School,False,other,23,female
1308,Master,True,Birmingham,23,female
1309,Master,False,London,54,male
1310,less than high school,False,Birmingham,18,female
1313,Master,False,other,26,female
1314,High School,False,other,22,male
1315,Master,False,other,20,female
1316,High School,False,Birmingham,61,female
1317,less than high school,True,other,22,female
1318,Bachelor,False,London,23,male
1319,Bachelor,False,other,39,female
1321,Master,False,Birmingham,56,male
1325,less than high school,False,London,61,male
1330,less than high school,False,other,34,female
1331,less than high school,False,other,29,female
1333,Master,False,Birmingham,22,female
1334,PhD,False,other,23,female
1335,PhD,False,other,47,male
1337,High School,False,Birmingham,20,female
1340,High School,False,other,24,female
1341,High School,False,other,22,female
1342,PhD,True,other,25,female
1344,High School,False,other,37,female
1351,Master,False,other,22,male
1352,PhD,True,other,28,male
1353,less than high school,False,other,25,female
1355,less than high school,False,Birmingham,21,male
1356,Master,False,other,18,female
1358,High School,False,other,25,male
1362,Master,False,other,55,male
1364,Bachelor,False,Birmingham,37,male
1365,High School,True,London,31,male
1366,less than high school,False,other,34,male
1369,PhD,False,other,22,male
1370,Master,False,Birmingham,55,male
1371,Master,False,Birmingham,21,male
1373,Bachelor,False,Birmingham,72,male
1375,High School,False,London,46,male
1376,High School,False,other,28,female
1377,less than high school,False,other,21,male
1379,Bachelor,True,other,55,female
1380,Master,True,Birmingham,24,female
1384,High School,True,other,23,female
1385,Master,True,Birmingham,21,male
1386,High School,False,Birmingham,20,male
1388,Master,False,Birmingham,71,female
1390,Master,False,Birmingham,22,male
1392,Master,False,other,30,female
1394,High School,False,other,23,male
1395,Master,False,Birmingham,22,male
1396,PhD,False,Birmingham,20,female
1397,High School,False,other,52,female
1398,less than high school,True,Birmingham,36,male
1399,PhD,True,Birmingham,23,male
1400,Bachelor,False,Birmingham,24,male
1402,less than high school,False,other,18,female
1404,High School,False,other,74,male
1405,High School,False,Birmingham,28,male
1407,less than high school,False,Birmingham,32,female
1409,High School,True,London,22,female
1410,less than high school,False,other,26,female
1411,PhD,True,other,37,male
1412,High School,True,other,51,female
1413,Bachelor,True,other,21,female
1414,Bachelor,False,Birmingham,24,female
1416,less than high school,False,other,34,male
